day,location,redds
2012-05-23,rkm479,1
2012-05-31,rkm479,1
2012-06-06,rkm479,2
2012-06-13,rkm479,12
2012-06-14,rkm479,16
2012-06-21,rkm479,20
2012-07-03,rkm479,21
2012-07-17,rkm479,8
2012-07-25,rkm479,19
2012-08-01,rkm479,2
2012-08-08,rkm479,0
2013-05-29,rkm479,1
2013-06-06,rkm479,2
2013-06-12,rkm479,1
2013-06-19,rkm479,2
2013-06-27,rkm479,18
2013-07-03,rkm479,22
2013-07-10,rkm479,19
2013-07-19,rkm479,32
2013-07-26,rkm479,13
2013-08-02,rkm479,10
2013-08-08,rkm479,8
2014-05-30,rkm479,0
2014-06-05,rkm479,3
2014-06-12,rkm479,0
2014-06-19,rkm479,0
2014-06-27,rkm479,3
2014-07-02,rkm479,15
2014-07-09,rkm479,10
2014-07-17,rkm479,6
2014-07-25,rkm479,6
2014-07-31,rkm479,3
2014-08-07,rkm479,1
2015-05-28,rkm479,2
2015-06-05,rkm479,2
2015-06-11,rkm479,9
2015-06-18,rkm479,10
2015-06-26,rkm479,16
2015-07-07,rkm479,12
2015-07-24,rkm479,26
2015-07-29,rkm479,11
2015-08-05,rkm479,10
2015-08-11,rkm479,5
2016-05-12,rkm479,0
2016-05-19,rkm479,1
2016-05-26,rkm479,2
2016-06-09,rkm479,2
2016-06-16,rkm479,1
2016-06-23,rkm479,1
2016-07-07,rkm479,1
2016-07-14,rkm479,0
2016-07-21,rkm479,1
2016-07-29,rkm479,1
2016-08-04,rkm479,2
2017-06-26,rkm479,3
2017-07-12,rkm479,4
2017-07-19,rkm479,8
2017-07-28,rkm479,6
2017-08-03,rkm479,2
2018-05-16,rkm479,3
2018-05-24,rkm479,10
2018-06-08,rkm479,12
2018-06-14,rkm479,5
2018-06-22,rkm479,11
2018-06-27,rkm479,16
2018-07-05,rkm479,22
2018-07-12,rkm479,23
2018-07-20,rkm479,16
2018-07-25,rkm479,12
2019-05-08,rkm479,1
2019-05-24,rkm479,0
2019-05-30,rkm479,4
2019-06-13,rkm479,26
2019-06-19,rkm479,43
2019-06-27,rkm479,49
2019-07-03,rkm479,53
2019-07-10,rkm479,57
2020-05-27,rkm479,0
2020-06-03,rkm479,1
2020-06-09,rkm479,3
2020-06-16,rkm479,11
2020-06-23,rkm479,92
2020-07-01,rkm479,40
2020-07-07,rkm479,23
2020-07-14,rkm479,21
2020-07-30,rkm479,25
2020-08-12,rkm479,8
2020-08-18,rkm479,2
1996-04-30,rkm483,0
1996-05-06,rkm483,0
1996-05-13,rkm483,0
1996-05-28,rkm483,0
1996-06-03,rkm483,0
1996-06-10,rkm483,0
1996-06-17,rkm483,0
1996-07-01,rkm483,2
1996-07-08,rkm483,0
1996-07-15,rkm483,0
1996-07-29,rkm483,0
1996-08-07,rkm483,0
1998-05-18,rkm483,0
1998-06-01,rkm483,0
1998-06-09,rkm483,0
1998-06-15,rkm483,0
1998-06-23,rkm483,0
1998-06-30,rkm483,0
1998-07-09,rkm483,4
1998-07-13,rkm483,0
1998-07-20,rkm483,0
1998-07-27,rkm483,0
1999-05-05,rkm483,0
1999-05-12,rkm483,0
1999-05-18,rkm483,0
1999-05-27,rkm483,0
1999-06-08,rkm483,1
1999-06-16,rkm483,0
1999-06-22,rkm483,0
1999-06-29,rkm483,0
1999-07-07,rkm483,0
1999-07-12,rkm483,0
1999-07-20,rkm483,0
1999-07-27,rkm483,0
1999-08-02,rkm483,0
1999-08-16,rkm483,0
2002-05-22,rkm483,7
2002-05-29,rkm483,8
2002-06-05,rkm483,83
2002-06-13,rkm483,27
2002-06-20,rkm483,45
2002-07-11,rkm483,55
2002-07-16,rkm483,68
2002-07-24,rkm483,2
2002-07-30,rkm483,2
2002-08-20,rkm483,0
2003-05-20,rkm483,0
2003-05-27,rkm483,63
2003-06-04,rkm483,42
2003-06-11,rkm483,28
2003-06-18,rkm483,45
2003-06-25,rkm483,88
2003-07-02,rkm483,82
2003-07-09,rkm483,119
2003-07-16,rkm483,65
2003-07-25,rkm483,17
2003-07-30,rkm483,15
2003-08-06,rkm483,14
2004-06-10,rkm483,0
2004-06-17,rkm483,1
2004-06-25,rkm483,7
2004-07-02,rkm483,6
2004-07-08,rkm483,7
2004-07-14,rkm483,29
2004-07-22,rkm483,15
2004-08-05,rkm483,34
2004-08-18,rkm483,3
2004-08-25,rkm483,0
2005-05-27,rkm483,58
2005-06-03,rkm483,104
2005-06-09,rkm483,182
