day,location,temperature
1996-02-23,rkm450,
1996-02-23,rkm479,9.532
1996-02-23,rkm440,
1996-02-23,rkm444,9.648
1996-02-23,rkm483,9.519
1996-02-23,rkm470,9.562000000000001
1996-02-23,rkm485,9.513
1996-02-24,rkm444,9.537
1996-02-24,rkm470,9.529
1996-02-24,rkm479,9.526
1996-02-24,rkm483,9.525
1996-02-24,rkm450,
1996-02-24,rkm440,
1996-02-24,rkm485,9.525
1996-02-25,rkm483,9.618
1996-02-25,rkm479,9.624
1996-02-25,rkm450,
1996-02-25,rkm485,9.615
1996-02-25,rkm440,
1996-02-25,rkm444,9.682
1996-02-25,rkm470,9.639
1996-02-26,rkm483,9.583
1996-02-26,rkm450,
1996-02-26,rkm470,9.615
1996-02-26,rkm479,9.593
1996-02-26,rkm444,9.681000000000001
1996-02-26,rkm485,9.578
1996-02-26,rkm440,
1996-02-27,rkm483,9.509
1996-02-27,rkm479,9.517000000000001
1996-02-27,rkm444,9.583
1996-02-27,rkm485,9.506
1996-02-27,rkm440,
1996-02-27,rkm450,
1996-02-27,rkm470,9.533999999999999
1996-02-28,rkm479,9.386000000000001
1996-02-28,rkm444,9.379
1996-02-28,rkm485,9.388
1996-02-28,rkm470,9.384
1996-02-28,rkm440,
1996-02-28,rkm450,
1996-02-28,rkm483,9.387
1996-02-29,rkm444,9.291
1996-02-29,rkm450,
1996-02-29,rkm485,9.259
1996-02-29,rkm440,
1996-02-29,rkm483,9.26
1996-02-29,rkm470,9.27
1996-02-29,rkm479,9.263
1996-03-01,rkm450,
1996-03-01,rkm483,9.494
1996-03-01,rkm444,9.777000000000001
1996-03-01,rkm470,9.588
1996-03-01,rkm485,9.48
1996-03-01,rkm440,
1996-03-01,rkm479,9.523
1996-03-02,rkm479,9.521
1996-03-02,rkm440,
1996-03-02,rkm485,9.453
1996-03-02,rkm470,9.624
1996-03-02,rkm450,
1996-03-02,rkm444,9.921
1996-03-02,rkm483,9.475
1996-03-03,rkm444,9.84
1996-03-03,rkm450,
1996-03-03,rkm440,
1996-03-03,rkm483,9.41
1996-03-03,rkm485,9.388
1996-03-03,rkm479,9.454
1996-03-03,rkm470,9.552999999999999
1996-03-04,rkm470,9.402000000000001
1996-03-04,rkm440,
1996-03-04,rkm479,9.273
1996-03-04,rkm485,9.187000000000001
1996-03-04,rkm450,
1996-03-04,rkm483,9.215
1996-03-04,rkm444,9.777000000000001
1996-03-05,rkm450,
1996-03-05,rkm483,9.071
1996-03-05,rkm470,9.177
1996-03-05,rkm440,
1996-03-05,rkm444,9.391
1996-03-05,rkm485,9.055
1996-03-05,rkm479,9.104
1996-03-06,rkm483,8.959
1996-03-06,rkm440,
1996-03-06,rkm479,8.988999999999999
1996-03-06,rkm485,8.943999999999999
1996-03-06,rkm450,
1996-03-06,rkm470,9.058
1996-03-06,rkm444,9.257
1996-03-07,rkm440,
1996-03-07,rkm483,9.039
1996-03-07,rkm450,
1996-03-07,rkm470,9.208
1996-03-07,rkm485,9.013
1996-03-07,rkm444,9.546
1996-03-07,rkm479,9.091000000000001
1996-03-08,rkm470,9.406
1996-03-08,rkm483,9.21
1996-03-08,rkm485,9.18
1996-03-08,rkm444,9.798
1996-03-08,rkm479,9.27
1996-03-08,rkm450,
1996-03-08,rkm440,
1996-03-09,rkm479,9.412
1996-03-09,rkm483,9.332
1996-03-09,rkm450,
1996-03-09,rkm485,9.292
1996-03-09,rkm444,10.118
1996-03-09,rkm440,
1996-03-09,rkm470,9.594
1996-03-10,rkm479,9.05
1996-03-10,rkm485,8.953
1996-03-10,rkm450,
1996-03-10,rkm444,9.618
1996-03-10,rkm470,9.196
1996-03-10,rkm440,
1996-03-10,rkm483,8.985
1996-03-11,rkm450,
1996-03-11,rkm444,9.761000000000001
1996-03-11,rkm479,8.929
1996-03-11,rkm485,8.787
1996-03-11,rkm470,9.142999999999999
1996-03-11,rkm440,
1996-03-11,rkm483,8.834
1996-03-12,rkm483,8.72
1996-03-12,rkm450,
1996-03-12,rkm479,8.852
1996-03-12,rkm444,10.004
1996-03-12,rkm440,
1996-03-12,rkm470,9.148
1996-03-12,rkm485,8.655
1996-03-13,rkm470,8.978
1996-03-13,rkm440,
1996-03-13,rkm450,
1996-03-13,rkm483,8.681000000000001
1996-03-13,rkm485,8.636000000000001
1996-03-13,rkm479,8.772
1996-03-13,rkm444,9.571
1996-03-14,rkm444,9.664
1996-03-14,rkm440,
1996-03-14,rkm450,
1996-03-14,rkm479,8.863
1996-03-14,rkm483,8.771
1996-03-14,rkm470,9.068999999999999
1996-03-14,rkm485,8.726
1996-03-15,rkm444,9.675
1996-03-15,rkm450,
1996-03-15,rkm479,8.833
1996-03-15,rkm440,
1996-03-15,rkm485,8.689
1996-03-15,rkm470,9.049
1996-03-15,rkm483,8.737
1996-03-16,rkm444,9.777000000000001
1996-03-16,rkm470,8.984
1996-03-16,rkm450,
1996-03-16,rkm440,
1996-03-16,rkm485,8.527000000000001
1996-03-16,rkm483,8.587
